ACRES,POP_2010,POP_2000,Manure_P_kg_ha,P_Ag_Buffered,RNAT45,PDEV,PFOR,PWETL,Ag_P_Runoff,Ag_P_Erosion,Ag_Tile_SSF,PIUCN_IA,PIUCN_IB,Ag_P_balance_kg_ha
13541.99,17921,15940,0.541399952,82.43967828,80.8559875,31,36.9110336,12.8536272,3.580942074,0.041353711,0,0,0,0.541579504
28162.21,1478,1283,8.561218709,82.75273489,87.8471146,6,32.1315231,35.1987076,12.87257256,0.12553034,0,0,0,9.52377535
11336.28,8371,6470,2.243932994,95.29026571,81.5145721,36,28.2101822,15.442379,4.832529173,0.093996748,0,0,0,2.244677182
32284.52,1755,1650,3.247191102,92.50146456,93.7416916,5,67.4780884,1.2782995,1.755751082,0.108977999,0,0,0,3.215375854
25586.91,2233,2182,7.660538442,79.82135703,75.5226212,7,23.8698196,23.2167988,12.87804923,0.21897923,0,0,0,7.65189261
12040.47,4466,4407,9.677788671,82.41242326,83.4578171,19,29.0993805,22.0941448,11.26715498,0.092410273,0,0,0,10.77646582
17585.3,2150,1063,0.65489621,93.9220496,93.3616791,8,39.045002,36.4134903,1.172772367,0.015015421,0,0,0,1.924872916
17214.66,8479,7545,2.830140389,91.74356484,78.8008728,24,40.1413803,4.3948693,3.402468114,0.086020581,0,0,0,2.940317133
11364.35,24520,20680,0.139427177,78.75307629,50.3365211,60,30.0518436,0.4001656,0.712744951,0.027602158,0,0,0,0.542154329
30910,2714,2722,5.809955919,76.46557439,79.8781509,7,60.2959442,0.4410278,2.342872173,0.092495606,0,0,0,5.934854379
24796.8,5578,4756,3.479634323,95.48621333,87.3679504,16,52.7046394,6.1622047,2.505157299,0.06022083,0,0,0,3.454859823
16671.38,7007,6816,6.165116159,82.2663341,71.0346069,17,21.6697674,10.9964561,11.11818657,0.327397085,0,0,0,5.428208942
17172.39,772,706,3.731048689,81.80376161,88.6880035,5,62.4387589,1.4087125,1.824375079,0.052465072,0,0,0,3.780732794
14220.12,3339,1873,0.164036977,81.61822467,90.8968277,16,39.2695045,12.7351255,4.094759382,0.051970272,0,0,0,0.199839462
27434.9,5973,5098,2.715538591,89.8543157,86.8872147,10,56.817337,5.5853767,5.785778009,0.115789602,0,0,0,2.42154756
10440.12,5069,1312,0.323677283,95.91397849,97.3473892,13,60.0367508,11.178771,1.694916033,0.029541178,0,0,0,0.287424862
16818.31,1520,1231,3.770379813,83.31996792,77.7220459,7,63.3902969,0.2746524,0.645564648,0.034119313,0,0,0,3.900241758
18694.92,1241,1112,1.272413831,86.71263511,92.031395,6,65.3832169,7.2552257,1.215535398,0.014295483,0,0,0,1.320262581
23468.39,3493,2836,2.499151181,92.49251746,93.5398026,7,61.9894905,3.7472575,2.655612398,0.044061792,0,0,0,2.406580181
17360.99,7388,6118,2.489378788,94.85484335,81.6678391,19,44.4618378,6.046536,3.513076787,0.066094096,0,0,0,2.531017214
25638.72,60168,64911,0.247399716,75.29322739,60.6083221,68,20.0493011,6.950366,1.528386037,0.021131438,0,0,0,0.247481765
26158.02,9987,9039,4.59416571,72.31558904,69.9850159,17,51.1911278,0.3569111,3.131887748,0.169272255,0,0,0,4.75240104
